tlw,blw,h,s
1.5843,3.0425,1.0885,2.5397
0.3058,3.0114,2.4692,7.774
3.942,4.3226,0.7609,4.6444
0.6004,1.9563,1.5967,9.9101
1.2888,4.8353,2.0056,8.9666
2.1817,4.9523,1.1364,5.7323
3.3708,3.5713,1.6785,6.8503
1.1117,2.358,0.2643,3.5846
2.4226,4.2353,1.8361,5.3669
1.5952,3.7699,0.4559,8.0699
2.7874,4.6779,2.0887,3.45
0.5214,1.3261,1.2534,6.247
0.3058,3.6374,0.644,7.1277
0.868,4.0432,1.5138,2.4247
3.1286,4.6202,0.8967,9.0563
1.8879,2.4692,2.3115,4.2594
1.773,4.4474,0.5226,6.5226
2.4534,3.1053,1.9033,3.7882
3.6321,3.9386,1.3246,8.6683
0.1155,1.1137,2.1604,5.9027
0.807,2.8655,1.4422,4.971
0.654,4.5717,0.5729,9.7055
3.4696,4.4119,2.2441,2.8371
1.419,2.5276,0.8299,7.6026
2.009,3.3882,2.3951,9.3205
1.2902,3.3288,1.0149,4.1173
4.833,4.9355,1.5274,7.4876
1.0969,2.2968,0.6922,2.1908
0.4095,3.9156,1.2055,3.1849
1.7877,4.2173,2.0753,6.3881
2.6422,3.213,0.3374,5.006
0.104,1.7571,1.7521,8.3028
1.3966,4.1542,2.1439,7.6545
1.7367,2.7664,1.2729,2.9199
3.0088,4.2842,1.8166,9.5364
0.3605,0.853,0.4007,4.771
1.0219,3.4863,0.952,5.8548
1.0857,4.7797,2.331,8.5893
3.2546,4.7535,0.6245,3.9533
2.0812,2.3914,1.4586,6.7188
2.3854,2.9475,0.7809,8.4387
0.4325,3.6677,1.6514,5.2354
4.1414,4.501,1.0338,6.3694
0.7279,1.788,2.4492,3.0727
0.1946,4.6703,1.6985,2.0511
2.3847,4.0093,0.3189,7.2544
2.8571,3.6844,1.951,4.1399
1.0048,1.9651,1.1163,9.4365
1.81,3.8719,1.5782,3.6579
0.8215,3.2073,0.7072,6.8921
4.0367,4.5745,2.38,5.5262
0.387,2.7088,0.9641,8.792
0.9184,4.3287,0.3882,9.8328
1.3958,4.6058,1.7672,4.5986
2.5842,3.8439,1.1904,7.9841
0.6295,2.7045,2.0245,2.7183
2.1969,4.9132,1.3403,4.4987
1.9648,3.574,2.2107,9.2017
3.2216,4.8852,0.4723,2.3182
1.1998,1.5221,1.8876,7.1152
0.6762,3.2607,2.2597,6.0115
0.2422,4.3898,0.8802,3.3086
2.7582,3.9643,1.3919,8.1726
1.5106,2.1782,0.5573,5.3755
1.5387,4.7661,1.4967,9.1404
2.1064,2.8989,0.6614,4.4371
3.3665,4.4343,2.294,7.0515
0.6457,1.3577,0.9139,2.2549
1.186,3.1139,0.4385,3.3699
0.3835,4.9286,1.8532,6.0732
3.3975,4.0976,1.2363,5.4392
1.7612,2.4526,2.1061,8.2359
2.5489,3.7067,1.1532,6.9538
0.9433,3.8159,1.989,3.7193
4.5989,4.6916,0.2809,8.8552
0.8724,2.5406,1.6616,5.5898
0.3374,4.1638,2.4858,4.5369
1.5174,4.1423,1.0716,9.7714
2.7121,3.1826,1.6135,2.655
0.4461,2.1138,0.7443,7.9204
1.6648,2.7941,2.0579,5.1721
0.5763,3.0765,1.2227,8.375
3.8752,4.3427,1.735,3.011
0.2227,1.6421,0.3548,6.308
0.7572,4.5166,0.9978,7.3176
2.5287,4.4554,2.4125,2.1147
3.5965,3.8152,0.6748,9.4983
0.8461,2.5741,1.5446,4.2012
2.0352,3.987,0.5895,2.9836
1.8655,3.4229,1.4253,7.7178
3.1295,4.7517,0.8468,4.8323
0.1793,1.3912,2.2275,9.5981
0.5317,3.3189,1.9202,8.5257
1.2148,4.2595,0.506,5.7915
